Effective Date,County,Trade Title,Region,Type,Class,Base Wage,Foreman Wage,OT M-F,OT Sa,OT Su,OT Hol,H/W,Pension,Vacation,Training,Other Fringe Benefit
8/15/2018,Alexander,TUCKPOINTER,All,BLD,,30.92,32.78,1.5,1.5,2,2,9.10,9.67,0.00,0.85,0.00
8/15/2018,Bond,ASBESTOS ABT-GEN,ALL,ALL,,26.95,27.45,1.5,1.5,2,2,6.30,18.29,0.00,0.80,
8/15/2018,Bond,ASBESTOS ABT-MEC,All,BLD,,27.00,27.50,1.5,1.5,2,2,6.30,20.94,0.00,0.80,0.00
8/15/2018,Bond,BOILERMAKER,All,BLD,,37.00,39.50,1.5,1.5,2,2,7.07,23.72,1.50,1.05,0.00
8/15/2018,Bond,BRICK MASON,All,BLD,,33.13,35.12,1.5,1.5,2,2,8.75,12.44,0.00,0.80,0.00
4/5/2019,Bond,CARPENTER,All,ALL,,38.85,40.35,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
3/1/2019,Bond,CEMENT MASON,All,ALL,,34.50,35.50,1.5,1.5,2,2,9.95,14.50,0.00,0.30,0.00
8/15/2018,Bond,CERAMIC TILE FNSHER,ALL,BLD,,27.48,0.00,1.5,1.5,2,2,6.45,5.70,0.00,0.58,
8/15/2018,Bond,ELECTRIC PWR EQMT OP,E,ALL,1,41.14,55.15,1.5,1.5,2,2,6.93,11.52,0.00,0.41,0.00
8/15/2018,Bond,ELECTRIC PWR EQMT OP,E,ALL,2,36.70,55.15,1.5,1.5,2,2,6.93,10.28,0.00,0.37,0.00
8/15/2018,Bond,ELECTRIC PWR EQMT OP,W,ALL,,44.09,53.15,1.5,1.5,2,2,6.95,12.34,0.00,0.44,0.00
8/15/2018,Bond,ELECTRIC PWR GRNDMAN,E,ALL,,30.17,55.15,1.5,1.5,2,2,6.93,8.45,0.00,0.30,0.00
8/15/2018,Bond,ELECTRIC PWR GRNDMAN,W,ALL,,32.91,53.15,1.5,1.5,2,2,5.19,9.22,0.00,0.33,0.00
8/15/2018,Bond,ELECTRIC PWR LINEMAN,E,ALL,,51.65,55.15,1.5,1.5,2,2,6.93,14.46,0.00,0.52,0.00
8/15/2018,Bond,ELECTRIC PWR LINEMAN,W,ALL,,50.70,53.15,1.5,1.5,2,2,7.99,14.21,0.00,0.51,0.00
8/15/2018,Bond,ELECTRIC PWR TRK DRV,W,ALL,,35.99,53.15,1.5,1.5,2,2,5.68,10.08,0.00,0.36,0.00
10/26/2018,Bond,ELECTRICIAN,E,ALL,,43.56,45.81,1.5,1.5,2,2,8.64,12.64,0.00,0.86,0.00
8/15/2018,Bond,ELECTRICIAN,W,ALL,,39.79,53.15,1.5,1.5,2,2,7.99,11.04,0.00,1.00,0.00
4/5/2019,Bond,ELECTRONIC SYS TECH,E,BLD,,34.58,36.58,1.5,1.5,2,2,7.74,5.19,0.00,0.40,0.00
4/5/2019,Bond,ELECTRONIC SYS TECH,W,BLD,,33.52,35.52,1.5,1.5,2,2,3.65,9.76,0.00,0.40,0.00
8/15/2018,Bond,ELEVATOR CONSTRUCTOR,All,BLD,,48.54,54.61,2,2,2,2,15.43,16.61,3.88,0.61,0.00
8/15/2018,Bond,FLOOR LAYER,All,BLD,,33.43,34.18,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Bond,GLAZIER,All,BLD,,35.91,37.91,1.5,1.5,2,2,6.25,10.20,0.00,0.68,0.00
11/16/2018,Bond,HT/FROST INSULATOR,ALL,BLD,,38.70,39.70,1.5,1.5,2,2,10.26,12.21,3.90,0.70,0.00
8/15/2018,Bond,IRON WORKER,All,ALL,,32.25,34.25,1.5,1.5,2,2,9.71,16.25,0.00,0.42,0.00
4/5/2019,Bond,LABORER,All,ALL,,26.50,27.00,1.5,1.5,2,2,6.30,20.94,0.00,0.80,0.00
8/15/2018,Bond,MACHINIST,All,BLD,,48.38,50.88,1.5,1.5,2,2,7.23,8.95,1.85,1.47,0.00
8/15/2018,Bond,MARBLE FINISHERS,ALL,BLD,,27.48,0.00,1.5,1.5,2,2,6.45,5.70,0.00,0.58,
8/15/2018,Bond,MARBLE MASON,All,BLD,,33.13,33.13,1.5,1.5,2,2,8.75,12.44,0.00,0.15,0.00
8/15/2018,Bond,MILLWRIGHT,All,ALL,,38.85,40.35,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
12/7/2018,Bond,OPERATING ENGINEER,All,BLD,1,37.70,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,2,36.57,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,3,32.09,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
1/11/2019,Bond,OPERATING ENGINEER,All,BLD,4,32.15,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,5,31.82,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,6,40.25,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,7,40.55,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,8,40.83,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,BLD,9,38.70,40.70,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
12/7/2018,Bond,OPERATING ENGINEER,All,HWY,1,36.20,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,2,35.07,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,3,30.59,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,4,30.65,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,5,30.32,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,6,38.75,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,7,39.05,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
8/15/2018,Bond,OPERATING ENGINEER,All,HWY,8,39.33,39.20,1.5,1.5,2,2,12.35,18.00,0.00,1.00,0.00
